producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
Omen 16-xf0043AX Gaming Laptop,HP,2153.88,179490,TH GEN AMD RYZEN 9 7940HS,32,1024,NVIDIA GEFORCE RTX 4070,16.1,Windows 11 OS,1,78.0
Aero 14 OLED BMF Laptop,Gigabyte,1979.88,164990,TH GEN INTEL CORE I7 13700H,16,1024,NVIDIA GEFORCE RTX 4050,14.0,Windows 11 OS,2,70.0
Inspiron 5430 IN54308DXWP001ORS1 Laptop,Dell,1019.88,84990,TH GEN INTEL CORE I7 1355U,16,1024,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
UH-X ‎4ZR1L73352 2-in-1 Laptop,Fujitsu,1259.88,104990,TH GEN INTEL CORE I7 1360P,16,1024,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,2,76.0
TUF Gaming F15 FX506HF-HN076W Gaming Laptop,Asus,695.88,57990,TH GEN INTEL CORE I5 11260H,16,512,NVIDIA GEFORCE RTX 2050,15.6,Windows 11 OS,1,69.0
Victus 15-fb1018AX Gaming Laptop,HP,707.88,58990,TH GEN AMD RYZEN 5 7535HS,8,512,NVIDIA GEFORCE RTX 2050,15.6,Windows 11 OS,1,63.0
Alienware x15 R2 D569947WIN9 Gaming Laptop,Dell,3659.88,304990,TH GEN INTEL CORE I9 12900H,32,1024,NVIDIA GEFORCE RTX 3070 TI,15.6,Windows 11 OS,1,78.0
Vivobook Go 14 2023 E1404FA-NK325WS Laptop,Asus,407.88,33990,TH GEN AMD RYZEN 3 7320U,8,512,AMD RADEON AMD,14.0,Windows 11 OS,1,69.32352941176471
Elite NU14U3INF56BN-CS Laptop,Ultimus,347.88,28990,TH GEN INTEL CORE I5 1035G4,8,512,INTEL INTEGRATED IRIS,14.1,Windows 11 OS,1,69.32352941176471
Aspire 3 Spin 14 NX.KENSI.002 Laptop,Acer,478.8,39900,INTEL CORE I3 N305,8,512,INTEL UHD GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
IdeaPad 3 15ITL6 82H803GSIN Laptop,Lenovo,437.88,36490,TH GEN INTEL CORE I3 1115G4,8,512,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,60.0
IdeaPad Slim 5i 82XD0040IN Laptop,Lenovo,1049.88,87490,TH GEN INTEL CORE I7 13620H,16,512,INTEL INTEGRATED UHD,14.0,Windows 11 OS,1,62.0
Inspiron 3530 2023 Laptop,Dell,539.88,44990,TH GEN INTEL CORE I3 1305U,8,1024,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,69.32352941176471
Yoga 7 Flip 82YL005YIN Laptop,Lenovo,1295.88,107990,TH GEN INTEL CORE I7 1360P,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,75.0
Inspiron 3535 2023 Laptop,Dell,562.8,46900,TH GEN AMD RYZEN 5 7520U,8,1024,AMD RADEON GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
