producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
Inspiron 7430 IC7430PXXWC001ORS1 Laptop,Dell,875.88,72990,TH GEN INTEL CORE I5 1335U,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Inspiron 5430 IN54308TR2G001ORS1 Laptop,Dell,858.84,71570,TH GEN INTEL CORE I5 1335U,16,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Victus 15-fb0137AX Gaming Laptop,HP,899.88,74990,TH GEN AMD RYZEN 7 5800H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,67.0
Eeebook 15 E510MA-EJ011WS Laptop,Asus,311.88,25990,INTEL CELERON N4020,8,256,INTEL UHD INTEGRATED,15.6,Windows 11 OS,1,69.32352941176471
ProBook 445 G8 7K2J8PA Business Laptop,HP,557.88,46490,TH GEN AMD RYZEN 7 5800U,8,512,AMD RADEON,14.0,DOS OS,1,63.0
Inspiron 5430 IN5430YXVW9M01ORS1 Laptop,Dell,775.08,64590,TH GEN INTEL CORE I5 1335U,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Inspiron 3530 IN3530NM1NN001ORS1 Laptop,Dell,767.88,63990,TH GEN INTEL CORE I5 1335U,8,512,INTEL INTEGRATED UHD,15.6,Windows 11 OS,1,69.32352941176471
Creator Z17 HX Studio A13V Laptop,MSI,2975.99,247999,TH GEN INTEL CORE I9 13900H,32,1024,NVIDIA GEFORCE RTX 4070,17.0,Windows 11 OS,3,69.32352941176471
Inspiron 7630 IC7630GHHRH001ORS1 2 in 1 Laptop,Dell,1127.88,93990,TH GEN INTEL CORE I5 1335U,8,512,INTEL IRIS XE GRAPHICS,16.0,Windows 11 OS,1,66.0
Victus 15-fb0131AX Gaming Laptop,HP,623.88,51990,TH GEN AMD RYZEN 5 5600H,8,512,AMD RADEON RX 5600M,15.6,Windows 11 OS,1,65.0
Vivobook 16 2023 M1605YA-MB521WS Laptop,Asus,575.88,47990,TH GEN AMD RYZEN 5 7530U,8,512,AMD RADEON AMD,16.0,Windows 11 OS,1,63.0
V14 G3 82TSA01KIH Laptop,Lenovo,412.68,34390,TH GEN INTEL CORE I3 1215U,8,512,INTEL INTEGRATED UHD,14.0,DOS OS,1,69.32352941176471
Aspire 7 A715-76G NH.QMESI.003 Gaming Laptop,Acer,611.88,50990,TH GEN INTEL CORE I5 12450H,8,512,NVIDIA GEFORCE GTX 1650,15.6,Windows 11 OS,1,65.0
15s-fq3071TU Laptop,HP,341.88,28490,INTEL CELERON N4500,8,512,INTEL INTEGRATED UHD GRAPHICS,15.0,Windows 11  OS,1,69.32352941176471
Katana 15 B12UDXK-1017IN Gaming Laptop,MSI,959.88,79990,TH GEN INTEL CORE I7 12650H,8,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,2,75.0
Katana 15 B12UDXK-1019IN Gaming Laptop,MSI,959.88,79990,TH GEN INTEL CORE I5 12450H,16,1024,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,2,75.0
One 14 Z2-493 Business Laptop,Acer,359.88,29990,RD GEN AMD RYZEN 5 3500U,8,512,AMD RADEON RADEON GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Victus 15-fb0135AX Gaming Laptop,HP,719.88,59990,TH GEN AMD RYZEN 5 5600H,8,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,64.0
Swift Edge 16 2023 Laptop,Acer,1288.79,107399,TH GEN AMD RYZEN 7040 SERIES 040,16,1024,AMD RADEON AMD,16.0,Windows 11 OS,1,69.32352941176471
G15-5530 Gaming 2023 Laptop,Dell,1550.39,129199,TH GEN INTEL CORE I7 13650HX,16,512,NVIDIA GEFORCE RTX 4060,15.6,Windows 11 OS,1,76.0
G15-5530 Gaming Laptop,Dell,1439.88,119990,TH GEN INTEL CORE I7 13650HX,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,73.0
‎G16-7630 Gaming Laptop,Dell,2249.88,187490,TH GEN INTEL CORE I9 13900HX,16,1024,NVIDIA GEFORCE RTX 4060,16.0,Windows 11 OS,1,79.0
G15-5530 2023 Gaming Laptop,Dell,1508.39,125699,TH GEN INTEL CORE I7 13650HX,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,75.0
Aspire Vero AV14-52P NX.KJTSI.002 Laptop,Acer,599.88,49990,TH GEN INTEL CORE I3 1315U,16,512,INTEL INTEGRATED UHD,14.0,Windows OS,1,69.32352941176471
Aspire 5 A515-58M NX.KHGSI.002 Gaming Laptop,Acer,683.88,56990,TH GEN INTEL CORE I5 1335U,16,512,INTEL INTEGRATED IRIS XE,15.6,Windows 11 OS,1,69.32352941176471
Vivobook 15X 2023 K3504VAB-NJ321WS Laptop,Asus,539.88,44990,TH GEN ‎INTEL CORE I3 1315U,8,512,INTEGRATED INTEL UHD GRAPHICS,15.6,Windows 11 OS,1,69.32352941176471
TUF A15 FA577RM-HQ032WS Laptop,Asus,1320.0,110000,TH GEN AMD RYZEN 7 6800H,16,1024,NVIDIA GEFORCE RTX 3060,15.6,Windows 11  OS,1,71.0
ROG Zephyrus G14 2023 GA402XV-N2034WS Gaming Laptop,Asus,2279.88,189990,TH GEN AMD RYZEN 9 7940HS,32,1024,NVIDIA GEFORCE RTX 4060,14.0,Windows 11 OS,1,89.0
TUF Gaming F15 2023 FX507VU-LP083WS Gaming Laptop,Asus,1559.88,129990,TH GEN INTEL CORE I7 13700H,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,73.0
TUF Gaming A15 2023 FA577XU-LP041WS Gaming Laptop,Asus,1583.88,131990,TH GEN AMD RYZEN 9 7940HS,16,1024,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,84.0
