nombre,precio_actual,precio_original,descuento,valoracion,plataforma,fecha,enlace
"Ordenador portátil 14 pulgadas Dual-Core hasta 2,6 GHz • 6 GB RAM • 128 GB SSD • UHD portatil • WiFi 5G • Mini-HDMI • Teclado membrana • Diseño sin ventilador • Color plateado • Ratón incluido","205,.99",,,"3,4 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Ordenador-port%C3%A1til-Dual-Core-Mini-HDMI-ventilador/dp/B0G3JBSTR6/ref=sr_1_4?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-4
"HP 15-fc0243ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Windows 11) Plata y Azul - Teclado QWERTY Español","719,.00","799,00 €",,"4,4 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-15-fc0243ns-Ordenador-port%C3%A1til-Graphics/dp/B0F4RM78RJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-5
"HP 15-fd0261ns - Ordenador portátil de 15.6"" FHD (Intel N100, 4GB RAM, 128GB UFS, Intel UHD, Windows 11) Plata - Teclado QWERTY Español - Incluye Microsoft 365 Personal 12 Meses","299,.00","349,00 €",,"4,2 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-15-fd0261ns-Ordenador-port%C3%A1til-Microsoft/dp/B0FCG24X9S/ref=sr_1_6?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-6
"BMAX Ordenador Portátil 15.6"" FHD Celeron N95 Upto 3,4 GHz Portatiles 12GB RAM 512GB SSD LPDDR5 Laptop, Win 11 PC Portátil 5G WiFi Notebook BT5.0, USB 3.2x2, Protege el Teclado Español","256,.49","289,99 €",,"4,6 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/BMAX-Ordenador-Port%C3%A1til-Portatiles-12GB/dp/B0GL8MWC5G/ref=sr_1_7?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-7
"ASUS Chromebook CX1505CTA - Ordenador Portátil 15.6"" Full HD (Intel N50, 4GB RAM, 128GB eMMC, ChromeOS) QWERTY Funda y ratón incluidos +3 Meses de Google AI Pro con Gemini Pro y 2TB de Almacenamiento","259,.00",,,"4,2 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/ASUS-Chromebook-CX1505CTA-Ordenador-Almacenamiento/dp/B0FWCLTWP2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-8
"ASUS Vivobook 15 F1504VA-BQ128W - Ordenador Portátil 15.6"" Full HD (Windows 11 Home,Intel Core 5 120U, 16GB RAM, 1TB SSD, Graphics,) Azul Tranquilo - Teclado QWERTY español","649,.00",,,"4,4 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/ASUS-Vivobook-F1504VA-BQ128W-Ordenador-Tranquilo/dp/B0F99B78JN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-9
"HP 15-fc0240ns - Ordenador portátil de 15.6"" FHD (AMD Ryzen 7-7730U, 32 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata - Teclado QWERTY Español","629,.00","699,00 €",,"4,3 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-15-fc0240ns-Ordenador-port%C3%A1til-operativo/dp/B0FCG33M6K/ref=sr_1_10?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-10
"Lenovo IdeaPad Slim 3 Gen 10 – Ordenador Portátil 15.3"" WUXGA (Intel Core i5-13420H, 16 GB RAM, 512 GB SSD, Gráficos Intel UHD, Wi-Fi 6, Windows 11 Home) Teclado QWERTY Español - Gris Luna","599,.00","679,00 €",,"4,7 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Lenovo-IdeaPad-Slim-Gen-Ordenador/dp/B0GL38BFBK/ref=sr_1_11?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-11
"HP - Ordenador portátil de 15.6"" FHD (AMD Ryzen 5-7520U, 16 GB RAM, 1TB SSD, AMD Radeon Graphics, Sin Sistema operativo) Plata y Azul - Teclado QWERTY Español","499,.00","549,00 €",,"3,8 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/HP-Ordenador-port%C3%A1til-Graphics-operativo/dp/B0FCG2VS1T/ref=sr_1_12?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-12
"acer Aspire Go 15 AG15-42P, Ordenador Portátil 15.6"" Full HD (AMD Ryzen 5 5625U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home), Plata, Teclado QWERTY Español","499,.00","549,00 €",,"5,0 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/acer-AG15-42P-Ordenador-Port%C3%A1til-Graphics/dp/B0F454GC8S/ref=sr_1_13?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-13
"15.6 Pulgadas Ordenador Portatil, Procesador N95 hasta 3.4 GHz, Portatil con 16GB RAM 512GB SSD, 1920 * 1080 IPS FHD Pantalla Laptop, BT5.0, USB 3.2, HDMI y Tipo C, WIFI5.0","289,.99",,,"4,3 de 5 estrellas",Amazon,2026-04-21 17:37,https://www.amazon.es/Tivique-Ordenador-Port%C3%A1til-Bater%C3%ADa-Estudios/dp/B0FDWMFX4T/ref=sr_1_14?dib=eyJ2IjoiMSJ9.NcNy5UQjmB9ZyecyHzMZo7QeVru8Ml1CXawcwddqGK6g40n2MhfM41e474jjRKOtsWa4ps87PhI6gnQYcix-S9pVpQpvwm-gu_3wX58giDP6788wgMskzdJeGNrx20oVdsaDvhTIdnfZhNSKt3KlI24RhimA-qqt1I00Yd08c6x8vJPn0KkD-liwXSMc-Y5Sw_cVoXy1tmyUJiOWHjOLLsUOWs_0YEkNtT_0pQXe7G5I19O4XMmERJmyl1hmv3B-hDQnd0ScUQxIHbp-nEgq73fXIA3HCmdrECOZmRmciMQ.5eVxGNU_O7VrgCmRcZ2FNvRomhAWl6XOZyrBjo1YgdQ&dib_tag=se&keywords=portatiles&qid=1776785868&sr=8-14
